货物出口到香港包括九龙或澳门寸仓火险责任扩展条款,_FIRE_RISK_EXTENSION_CLAUSEFOR
社会学,_SOCIOLOGY
香茅草,_CYMBOPOGON_CITRATUS
金雀儿,_CYTISUS_SCOPARIUS
艺术学,_ART
舞蹈学,_DANCE
初始化,_INITIALIZATION
迭代器,_ITERATOR
列表框,_LIST_BOX
异果菊,_DIMORPHOTHECA_SINUATA
双盾木,_DIPELTA_FLORIBUNDA
生理学,_PHYSIOLOGY
宝珠草,_VIRIDESCENS
元编程,_METAPROGRAMMING
网络流,_ETWORK_LOW
值传递,_PASS_BY_VALUE
短毛球,_EYRIESII
披碱草,_ELYMUS_DAHURICUS
程序员,_PROGRAMMER
月世界,_EPITHELANTHA_MICROMERIS
鹦哥花,_ARBORESCENS
保存点,_SAVEPOINT
球大戟,_EUPHORBIA_GLOBOSA
蛇皮掌,_LACTEA
兽医学,_VETERINARY_MEDICINE
王冠龙,_FEROCACTUS_GLAUCESCENS
麻醉学,_ANESTHESIOLOGY
菩提树,_RELIGIOSA
红网叶,_PEARCEI
值类型,_VALUE_TYPES
方剂学,_FORMULAS_OF_CHINESE_MEDICINE
虚拟机,_VIRTUAL_MACHINE
生药学,_PHARMMACOGNOSY
川贝母,_CIRRHOSA
标准舞,_STANDARD_DANCING
水杨梅,_ALEPPICUM
舞会​,_PARRTY
专业的,_PROFESSIONAL
档案学,_ARCHIVAL_SCIENCE
扁担木,_PARVIFLORA
跟随​,_FOLLOWFOLLOWING
新天地,_SAGLIONIS
网球花,_HAEMANTHUS_COCCINEUS
斜向的,_DIAGONALLY
监察部,_MINISTRY_OF_SUPERVISION
耐盐豆,_HALIMODENDRON_HALODENDRON
卧龙柱,_HARRISIA_GUELICHII
邮电部,_MINISTRY_OF_POSTS_AND
文化部,_MINISTRY_OF_CULTURE
滑轴转,_SLIP_PIVOT
红秋葵,_COCCINEUS
转折步,_TELEMARK
玫瑰茄,_HIBISCUS_SUBDARIFFA
孤挺花,_HIPPEASTRUM_VITTATUM
救护车,_AMBULANCE
铁草鞋,_POTTSII
神香草,_HYSSOPUS_OFFICINALIS
水凤仙,_NOLITANGERE
马蹄草,_PESCAPRAE
当代的,_CONTEMPORARY
有效的,_EFFECTIVE
蓝蝴蝶,_TECTORUM
政治的,_POLITICAL
虚账户,_NOMINAL_ACCOUNTS
硝西泮,_NITRAZEPAM
铜冰花,_TRICOLOR
收款法,_COLLECTION_METHOD
散沫花,_LAWSONIA_INERMIS
器官的,_ORGANIC
依色林,_PHYSOSTIGMINE_ESERINE
负商誉,_NEGATIVE_GOODWILL
折旧旧,_DEPRECIATION
胍乙啶,_GUANETHIDINE
心得静,_PINDOLOL
意外的,_UNEXPECTED
立方的,_CUBIC
香雪球,_LOBULARIA_MARITIMA
百脉根,_LOTUS_CORNICULATUS
忽地笑,_LYCORIS_AUREA
红利法,_BONUS_PROCEDURE
假稠李,_MADDENIA_HYPOLEUCA
受雇者,_EMPLOYEE
班珠尔,_BANJULBANTHURST
总产量,_PRODUCTION
贝鲁特,_BEIRUT
小锦葵,_ALCEA
卑尔根,_BERGEN
波尔多,_BORDEAUX
月宫殿,_MAMMILLOPSIS_SENILIS
招待会,_RECEPTION
房地产,_REAL_ESTATE
开普顿,_CAPE_TOWN
白仙玉,_MATUCANA_HAYNEI
建筑物,_CONSTRUCTION
吉大港,_CHITTAGONG
节目单,_PROGRAM
光云球,_COMMUNIS
林荫道,_AVENUE
底特律,_DETROIT
达尼丁,_DUNEDIN
不一致,_CONTRADICTION
弗里敦,_FREETOWN
过路人,_PASSENGER
南天竹,_NANDINA_DOMESTICA
乔治敦,_GEORGETOWN
哥德堡,_GOTHENBURG
财产税,_PROPERTY_TAX
胭脂掌,_NAPALEA_COCHENILLIFERA
好奇心,_CURIOSITY
王青球,_OTTONIS
红小町,_RUBERRIMUS
蓝睡莲,_CAPENSIS
拉巴斯,_LA_PAZ
大翅蓟,_ONOPORDUM_ACANTHIUM
臭常山,_ORIXA_JAPONICA
覆盆花,_OSCULARIA_CAULESCENS
马拉博,_MALABOSANTAISABEL
富贵草,_PACHYSANDRA_TERMINALIS
马瑙斯,_MANAUS
川芍药,_VEITCHII_BERESOUCKII
虞美人,_PAPAVER_RHOEAS
万鸦老,_MENADO
明德卢,_MINDELO
魔神球,_MAASSII
蒙巴萨,_MOMASA
龙珠果,_FOETIDA
茛艻花,_ACANTHUS_MOLLIS
挪威槭,_ACER_PLATANOIDES
纽瓦克,_NEWARK
川乌头,_CARMICHAELI
敖德萨,_ODESSA
普拉亚,_PLAIA
指甲兰,_AERIDES_ODORATUM
利蒙港,_PORT_LIMON
辟利洛,_PRIOLO
拉巴特,_RABAT
里耶卡,_RIJEKA
早早的,_EARLY
优秀的,_EXCELLENT
特有的,_PECULIAR
细香葱,_CHIVE
稳定的,_STABLE
遥远的,_REMOTE
易变的,_VRIBLE
洋白菜,_CABBAGE
笨拙的,_CLUMSY
坚持的,_CONSISTENT
外部的,_EXTERIOR
贫穷的,_POOR
酸性的,_ACID
正派的,_DECENT
大震荡,_EARTHQUAKE
使竖立,_ERECT
保险费,_INSURNCE
要不然,_OTHERWISE
两个都,_BOTHAND
冷藏库,_REFRIGERATOR
向道喜,_CONGRATULATE
为担忧,_BE_ANXIOUS_ABOUT
通讯员,_REPORTER
可能性,_LIKELIHOOD
盥洗室,_BATHROOM
电动的,_ELECTRIC
运动场,_PLAYGROUND
使联系,_RELATE
贮藏量,_STORAGE
如果不,_UNLESS
飞行器,_AIRCRAFT
直接地,_DIRECTLY
均匀的,_EVEN
一会儿,_PRESENTLY
不少于,_NO_LESS_THAN
变色龙,_CHAMELEON
自行车,_CYCLE
将处死,_EXECUTE
收受者,_RECEIVER
巨大的,_VAST
最好的,_BEST
清洁的,_CLEAN
使确信,_CONVINCE
诚恳的,_EARNEST
试验的,_EXPERIMENTAL
在野外,_OUTDOORS
物理的,_PHYSICAL
多雨的,_RAINY
苯苄胺,_PHENOXYBENZAMINE_DIBENZYLINE
整齐的,_REGULAR
微薄的,_SLENDER
顺从的,_TAME
牵引车,_TRACTOR
维他命,_VITAMIN
脚踏车,_BICYCLE
药剂师,_CHEMIST
共同的,_COMMON
初级的,_ELEMENTARY
新颖的,_ORIGINAL
持久的,_PERMANENT
相称的,_PROPORTIONAL
僵硬的,_RIGID
健壮的,_TOUGH
狂暴的,_VIOLENT
频繁的,_CONTINUL
学术的,_ACADEMIC
复杂的,_COMPLEX
家庭的,_DOMESTIC
安静的,_PEACEFUL
自豪的,_PROUD
完全不,_FAR_FROM
受害者,_VICTIM
摄影机,_CAMERA
演奏会,_CONCERT
平等的,_EQUAL
百分率,_PERCENTAGE
对敏感,_BE_ALIVE_TO
贴切的,_RELEVANT
构造的,_STRUCTURAL
观光者,_TOURIST
经销商,_GENCY
倒的倒,_BACKWARD
候选人,_CANDIDATE
拼死的,_DESPERATE
巨大的,_ENORMOUS
私人的,_PRIVATE
独自地,_BY_ONESELF
氯氮,_CHLORDIAZEPOXIDE_LIBRIUM
垂直的,_VERTICAL
绝对的,_ABSOLUTE
使确信,_ASSURE
使进化,_EVOLVE
个人的,_PERSONAL
珍贵的,_PRECIOUS
丙咪嗪,_IMIPRAMINE
侦察员,_SCOUT
怀疑的,_SUSPICIOUS
完全地,_ABSOLUTELY
使惊讶,_ASTONISH
勇敢的,_BRAVE
主要的,_CHIEF
使转变,_CONVERT
船航行,_SAIL
构造器,_CONSTRUCTOR
默认值,_DEFAULT
转义符,_ESCAPE_CHARACTER
泛化的,_GENERIC
许多的,_MANY_A
实现品,_IMPLEMENTATION
与结合,_BE_COMBINED_WITH
送报员,_DELIVERYBOY
男演员,_ACTOR
购买买,_BUY
互斥体,_MUTEX
雕刻家,_SCULPTOR
自动的,_UTOMTIC
基本上,_BASICALLY
泡浸泡,_SOAK
挣值法,_EARNED_VALUE
牛肚块,_TRIPEPIECES
白花菜,_CAULIFLOWER
蓄水池,_RESERVIOR
祝酒词,_TOAST
专门地,_EXCLUSIVELY
使膨胀,_EXPAND
奇异果,_KIWI
使优美,_POLISH
无花果,_FIG
来复枪,_RIFLE
给娱乐,_AMUSE
得胜者,_CHAMPION
凭记忆,_FROM_MEMORY
下流的,_DIRTY
干粟子,_DRIEDCHESTUTS
平静的,_CALM
熏鲑　,_SMOKEDSALMON
洋蝴蝶,_DOMESTICUM
马槟榔,_CAPER
蔓赤车,_SCABRA
做发型,_CUTTING
假辫子,_CORONET_BRAID_SWITCH
指甲油,_NAIL_COLOR
坦率地,_HEART_TO_HEART
去角质,_EXFOLIATOR
护肤霜,_MOISTURIZERSANDCREAMS
捕虫堇,_PINGUICULA_VULGARIS
硬技术,_HARD_TECHNOLOGY
有益性,_HELPFULNESS
遮瑕膏,_CONCEALER
化香树,_PLATYCARYA_STROBILACEA
矮苦竹,_PYGMAEA
指甲油,_NAILPOLISH
罗汉松,_PODOCARPUS_MACROPHYLLUS
睫毛夹,_LASHCURLER
毛白杨,_POPULUS_TOMENTOSA
星期六,_SATURDAY
批发商,_JOBBERS
榆叶梅,_PRUNUS_TRILOBA
松叶蕨,_PSILOTUM_NUDUM
十一月,_NOVEMBER
秋子梨,_PYRUS_USSURIENSIS
安哥拉,_ANGOLA
使君子,_QUISQUALIS_INDICA
梭罗树,_REEVESIA_PUBESCENS
吉布提,_DJIBOUTI
映山红,_RHODODENDRON_SIMSII
万年青,_ROHDEA_JAPONICA
新市场,_NEW_MARKETS
马恩岛,_ISLE_OF_MAN
肯尼亚,_KENYA
黎巴嫩,_LEBANON
金光菊,_RUDBECKIA_LACINIATA
马拉维,_MALAWI
高山柏,_SQUAMATA
矮串红,_NANA
菲律宾,_PHILIPPINES
卢旺达,_RWANDA
千岁兰,_NILOTICA
石碱花,_SAPONARIA_OFFICINALIS
必胜客,_PIZZA_HUT
苏里南,_SURINAME
图瓦卢,_TUVALU
虎须草,_CERNUUS
赞比亚,_ZAMBIA
玉米石,_ALBUM
仙人笔,_SENECIO_ARTICULATUS
产品线,_PRODUCT_LINE
银锤掌,_HAWORTHII
六月雪,_SERISSA_FOETIDA
高雪轮,_SILENE_ARMERIA
香茵芋,_SKIMMIA_JAPONICA
金银茄,_SOLANUM_TEXANUM
原材料,_RAW_MATERIALS
鹰爪豆,_SPARTIUM_JUNCEUM
参照权,_REFERENT_POWER
扭果花,_STREPTOCARPUS_HYBRIDUS
劳力士,_ROLEX
红黄草,_PATULA
落羽松,_TAXODIUM_DISTICHUM
黄钟花,_TECOMA_STANS
狮子头,_LOPHOTHELE
刑事犯,_CRIMINAL
小叶椴,_TILIA_MONGOLICA
惯用法,_USAGE
紫霞草,_VIRGINIANA
巯嘌呤,_MERCAPTOPURINE
金梅草,_TROLLIUS_CHINENSIS
战略组,_STRATEGIC_GROUP
石笔木,_TUTCHERIA_SPECTABILIS
高级的,_SOPHISTICATED
毛蕊花,_VERBASCUM_THAPSUS
怀疑的,_DOUBTFUL
紫霞菊,_ALTISSIMA
冷淡的,_REMOTE
大绣球,_VIBURNUM_MACROCEPHALLUM
与无关,_BE_INDEPENDENT_OF
书带蕨,_VITTARIA_FLEXUOSA
永远地,_ONCE_AND_FOR_ALL
盆架树,_WINCHIA_CALOPHYLLA
狗脊蕨,_WOODWARDIA_JAPONICA
吊竹梅,_ZEBRINA_PENDULA
忧虑的,_UNEASY
协议书,_AGREEMENT
小阉牛,_BULLOCKSTEER
菌得清,_SULFISOXAZOLE_SULFAFURAZOLE
一切险,_ALL_RISKS
粗劣的,_CORSE
求助于,_TURN_TO
转运港,_PORT_OF_TRANSSHIPMENT
印度鳄,_GAVIAL
利福平,_RIFAMPICIN_RIFAMPIN
连续的,_CONTINUOUS
个人的,_PERSONL
辉煌的,_SPLENDID
梭子鱼,_PIKE
壮丽的,_GRND
议付行,_NEGOTIATING_BANK
雄绵羊,_RAM
爆炸的,_EXPLOSIVE
瑞支亭,_PHENTOLAMINE_REGITINE
蜘蛛蟹,_SPIDER_CRAB
白蝴蝶,_SULPHUR_BUTTERFLY
大海鲢,_TARPON
详细地,_IN_DETAIL
家庭的,_DOMESTIC
在过去,_IN_THE_PAST
不错的,_ALL_RIGHT
出口人,_EXPORTER
付款行,_DRAWEE_BANK
大菜卡,_DINERS_CLUB_INTERNATIONAL
等着听,_LISTEN_FOR
良好的,_ALL_RIGHT
寄售人,_CONSIGNOR
确认书,_CONFIRMATION
物理学,_PHYSICS
必然做,_BE_CERTAIN_TO_DO
很想做,_BE_CURIOUS_TO_DO
准确性,_ACCURACY
可靠性,_RELIABILITY
抽象物,_ABSTRACTION
分配器,_ALLOCATOR
买方样,_BUYER_SAMPLE
花括号,_BRACE
编译时,_COMPILE_TIME
木通,_AKEBIA_QUINATA
大量,_TROOP
打翻,_UPSET
预防,_PRECUTION
人才,_TLENT
芦荟,_ALOE_VERA_CHINENSIS
和谐,_ACCORDANCE
预料,_ANTICIPATE
一些,_BIT
取消,_CANCEL
坦帕,_TAMPA
居民,_CITIZEN
传达,_COMMUNICATE
争论,_CONFLICT
土伦,_TOULOR
关心,_CONSIDER
手艺,_CRAFT
压碎,_CRUSH
确定,_DETERMINATION
说明,_EXPLANATION
定位,_POSITIONING
出口,_OUTLET
耐心,_PATIENCE
保证,_ASSURANCE
楤木,_ARALIA_CHINENSIS
方面,_PHASE
粉末,_POWDER
提议,_PROPOSAL
进行,_PURSUE
痊愈,_RECOVERY
依赖,_RELY
命令,_REQUIRE
芦竹,_ARUNDO_DONAX
格律,_RHYTHM
流出,_SHED
悲伤,_SORROW
承诺,_COMMITMENT
概述,_SUMMARIZE
领土,_TERRITORY
发射,_TRANSMIT
玉蕊,_BARRINGTONIA_RACEMOSA
统一,_UNITY
爆炸,_EXPLODE
照着,_ACCORDINGLY
收缩,_CONTRACTION
刺檗,_BERBERIS_VULGARIS
争辩,_ARGUE
背景,_BACKGROUND
票据,_BILL
引出,_BRING
改变,_CHANGE
卷烟,_CIGARETTE
意见,_COMMENT
轻蔑,_CONTEMPT
配合,_COOPERATE
舱面,_DECK
跳水,_DIVE
效能,_EFFICIENCY
因素,_DIMENSION
雇用,_EMPLOYMENT
例子,_EXAMPLE
茶花,_CAMELLIA_JAPONICA
预期,_EXPECTATION
分销,_DISTRIBUTION
手术,_OPERATION
红利,_DIVIDEND
通过,_PASSAGE
前景,_PROSPECT
比赛,_RACE
加紧,_STEP_UP
支援,_REINFORCE
楸树,_CATALPA_BUNGEI
风险,_RISK
环境,_SETTING
照料,_TEND
悲剧,_TRAGEDY
取消,_UNDO
利用,_EXPLOIT
应受,_DESERVE
帐目,_ACCOUNT
山吹,_LUTEA
申请,_APPLICATION
栅栏,_BARRIER
装钉,_BIND
吊桶,_BUCKET
激活,_ACTIVATE
山洞,_CAVE
麻楝,_CHUKRASIA_TABULARIS
地带,_CLIMATE
参数,_ARGUMENT
肉桂,_CASSIA
贸易,_COMMERCE
授权,_AUTHORIZATION
内容,_CONTENT
胆识,_COURAGE
深厚,_DEPTH
按钮,_BUTTONS
情感,_EMOTION
回调,_CALLBACK
相等,_EQUALITY
党参,_PILOSULA
消费,_EXPENSE
观点,_OUTLOOK
分类,_CLASSIFICATION
住所,_PLACE
昌盛,_PROSPERITY
提交,_COMMIT
旋花,_CONVOLVULUS_TRICOLOR
地区,_ZONE
承认,_RECOGNIZE
包容,_CONTAINMENT
给予,_RENDER
展现,_REVEAL
成绩,_SCORE
纸张,_SHEET
归还,_DEALLOCATE
怀疑,_SUSPICION
由此,_THEREBY
销毁,_DESTROY
消费,_EXPENDITURE
目录,_DIRECTORY
菽麻,_CROTALARIA_JUNCEA
仍然,_NEVERTHELESS
约定,_APPINT
仙茅,_CURCULIGO_ORCHIOIDES
底层,_BASE
联结,_BOND
榅桲,_CYDONIA_OBLONGA
会长,_CHAIRMAN
春兰,_CYMBIDIUM_GOERINGII
法典,_CODE
结论,_CONCLUSION
形参,_FROMAL_PARAMETER
议会,_CONGRESS
消费,_CONSUME
瑞香,_APHNE_ODORA
行为,_DEED
生长,_DEVELOPMENT
热键,_HOT_KEY
尤其,_ESPECIALLY
鱼藤,_DERRIS_TRIFOLIATA
爆炸,_EXPLOSION
导入,_IMPORT
爱好,_PASSION
证明,_PROOF
恐怕,_BE_AFRAID_OF
劝告,_RECOMMEND
救济,_RELIEF
旋转,_ROTATION
扫描,_SCAN
标本,_SPECIMEN
方法,_METHOD
薄绢,_TISSUE
檞蕨,_DRYNARIA_FORTUNEI
弱点,_WEAKNESS
惩罚,_DISCIPLINE
对象,_OBJECT
道歉,_APOLOGIZE
装配,_ASSEMBLE
一套,_BATTERY
模式,_PATTERN
刀刃,_BLADE
池化,_POOLING
沙枣,_ELAEAGNUS_ANGUSTIFOLLA
主表,_PRIMARY_TABLE
环行,_CIRCUIT
柳兰,_EPILOBIUM_ANGUSTIFOLIUM
构成,_COMPOSITION
木贼,_EQUISETUM_HIEMALE
辩驳,_CONTEST
法庭,_COURT
困难,_DIFFICULTY
梯姑,_CRISTAGALLI
强制,_ENFORCE
出口,_EXPORT
调度,_SCHEDULE
意见,_OPINION
语义,_SEMANTICS
付给,_PAY
保护,_PROTECT
岗茶,_CHINENSIS
停止,_QUIT
联系,_RELATION
记号,_SYMBOL
抑制,_RESTRAINT
琥头,_ACANTHODES
射门,_SHOT
喉咙,_THROAT
解决,_RESOLVE
约束,_UNIQUE_CONSTRAINTSUNIQUE
器官,_APPARATUS
变量,_VARIABLE
集会,_ASSEMBLY
存在,_BEING
出身,_BIRTH
职业,_CAREER
典礼,_CEREMONY
儿子,_CHILD
泥土,_CLAY
舞伴,_PARTNER
谴责,_CONDEMN
传播,_CONVEY
宝绿,_GLOTTIPHYLLUM_LINGUIFORME
码头,_DOCK
变奏,_VARIATION
热情,_ENTHUSIASM
平衡,_BALANCE
晚上,_EVENING
业务,_PRACTICE
产生,_PRODUCE
切分,_SYNCOPATIONSYNCOPATED
比率,_RATE
疾转,_SPIN
头绪,_THREAD
截步,_CHECK
模型,_PATTERN
摇步,_ROCK
朱槿,_HIBISCUS_ROSASINENSIS
腰带,_BELT
木槿,_HIBISCUS_SYRIACUS
倒步,_FALLAWAY
沙棘,_HIPPOPHAE_RHAMNOIDES
背包,_BAG
从前,_SOMETIME
泥龙,_HUERNIA_LONGITUBA
菱形,_DIAMOND
产物,_PRODUCT
血苋,_IRESINE_HERBSTII
核桃,_JUGLANS_REGIA
沙姜,_KAEMPFERA_GALANGA
盒子,_CASSETTE
月桂,_LAURUS_NOBILIS
杜香,_LEDUM_PALUSTRE_DILATATUM
卷丹,_LANCIFOLIUM
亚麻,_USITATISSIMUM
坏的,_WICKED
毯子,_BLANKET
连接,_CONNECTION
关税,_TARIFF
机车,_ENGINE
鹿葱,_SQUAMIGERA
名誉,_REPUTATION
利用,_IMPOSE
涩荠,_MALCOLMIA_MARITIMA
雇员,_EMPLOYEE
巴尔,_BAR
钱包,_PURSE
大料,_ANISE
机遇,_CHANCE
注意,_OBSERVATION
接受,_RECEPTION
外汇,_FOREIGN_EXCHANGE
清律,_CHONGJINSEISHIN
大纲,_PROGRAM
原料,_STOCK
电信,_WIRE
道路,_AVENUE
分类,_CLASSIFICATION
否认,_CONTRADICTION
前夕,_EVE
电话,_PHONE
吉朗,_GEELONG
缺少,_SHORTAGE
海法,_HAIFA
广岛,_HIROSHIMA
课程,_COURSE
珍品,_CURIOSITY
仁川,_INCHON
邮政,_POST
吉达,_JEDDAH
预测,_PREDICT
金泽,_KANAZAWA
原理,_PRINCIPLE
基隆,_KEELUNG
争吵,_QUARREL
神户,_KOBE
坐直,_SIT_UP
读物,_READER
居住,_RESIDENCE
惊起,_ROUSE
鞋底,_SOLE
伦敦,_LONDON
刺激,_STIMULATE
澳门,_MACAO
因而,_THUS
温暖,_WARMTH
牡丹,_PAEONIA_SUFFRUTICOSA
援助,_ASSIST
马赛,_MARSEILLES
跳起,_BOUNCE
资金,_CAPITAL
米里,_MIRI
追逐,_CHASE
公司,_COMPANY
被褥,_CLOTHES
观念,_CONCEPT
征服,_CONQUER
拿骚,_NASSAU
银槭,_SACCHARINUM
构造,_CONSTITUTION
蓍草,_SIBIRICA
交付,_DELIVERY
出现,_EMERGE
奥兰,_ORAN
纪元,_ERA
检查,_EXAMINATION
槟城,_PENANG
油画,_PAINTING
职位,_POST
引起,_RAISE
反射,_REFLEXION
雷神,_POTATORUM_VERSCHEFFELTII
保有,_RETAIN
切片,_SLICE
传送,_TRANSMISSION
不幸,_DISTRESS
挫败,_DEFEAT
棒酸,_CLAVULANIC
国土,_REALM
限制,_RESTRICT
次序,_SEQUENCE
神殿,_TEMPLE
联合,_UNION
宽度,_WIDTH
前途,_PROSPECT
调整,_ADJUST
发表,_ANNOUNCE
微粒,_ATOM
宽度,_BREADTH
事务,_BUSINESS
听头,_CAN
比作,_COMPARE
因而,_CONSEQUENTLY
价格,_COST
母兽,_COW
包括,_EMBRACE
建立,_ESTABLISH
细查,_EXAM
时刻,_OCCASION
时期,_PERIOD
电梯,_ELEVATOR
眼的,_OPTICAL
甲虫,_BEETLE
骗取,_CHEAT
十一,_ELEVEN
鳄鱼,_CROCODILE
王的,_ROYAL
空的,_EMPTY
塞子,_PLUG
厌烦,_BE_TIRED_OF
吼叫,_ROAR
歧视,_DISCRIMINTION
否则,_OR_ELSE
租金,_RENT
航海,_VOYAGE
咖啡,_COFFEE
立即,_DIRECTLY
平的,_EVEN
目前,_PRESENTLY
多达,_NO_LESS_THAN
避役,_CHAMELEON
循环,_CYCLE
实施,_EXECUTE
马厩,_STABLE
渔船,_BOAT
部分,_PROPORTION
边缘,_BORDER
运河,_CANAL
道路,_PATH
爱慕,_AFFECTION
班级,_CLASS
扫过,_SWEEP
洗澡,_BATH
棉布,_COTTON
看到,_OBSERVE
出席,_PRESENCE
贷棚,_SHED
鸟笼,_CAGE
边缘,_EDGE
部门,_PROVINCE
丝带,_RIBBON
疲劳,_TIRE
波段,_BAND
卡片,_CARD
优胜,_PREVAIL
出现,_COME
圆体,_SPHERE
一瓶,_BOTTLE
陆地,_CONTINENT
职责,_DUTY
电流,_ELECTRICITY
烧硬,_BAKE
谷物,_CORN
等式,_EQUATION
山脉,_RIDGE
合并,_INTEGRTE
怀疑,_DOUBT
回声,_ECHO
螺旋,_SCREW
跨距,_SPAN
爆炸,_BLAST
裂缝,_CRACK
末端,_END
医生,_PHYSICIAN
骄傲,_PRIDE
贸易,_TRADE
篮球,_BASKETBALL
交换,_EXCHANGE
目标,_TRGET
聋的,_DEAF
假托,_PRETEND
香叶,_BAYLEAF
种类,_SORT
前进,_ADVANCE
论述,_DISCUSSION
拥有,_OWN
密度,_DENSITY
远处,_DISTANCE
忍受,_PUT_UP_WITH
配置,_CONFIGURATION
电压,_VOLTAGE
剪刀,_SCISSORS
环境,_CONTEXT
定制,_CUSTOM
碰撞,_COLLISION
由于,_BECAUSE
妥协,_COMPROMISE
呼喊,_EXCLAIM
次于,_BE_SECOND_TO
应当,_OUGHT
继承,_INHERITANCE
乐于,_BE_PLEASED_TO_DO
用完,_RUN_OUT_OF
集成,_INTEGRATE
医生,_DOCTOR
结束,_BE_THROUGH_WITH
石鸡,_PARTRIDGE
项目,_ITEM
援救,_RESCUE
链接,_LINK
秘书,_SECRETARY
惊蛰,_THE_WAKING_OF_INSECTS_RD_SOLAR
毛巾,_TOWEL
小暑,_LESSER_HEAT_TH_SOLAR_TERMJUL
竞争,_COMPETITION
立冬,_THE_BEGINNING_OF_WINTER_TH
战役,_CAMPAIGN
教室,_CLASSROOM
盎司,_OUNCE
项目,_PROJECT
照片,_PHOTO
表述,_REPRESENT
特权,_PRIVILEGE
光学,_OPTICS
百鸟,_LARK
开销,_EXPENSE
打搅,_DISTURB
效忠,_RENDERHOMGE
白垩,_CHALK
脆甜,_GOLDENAPPLE
错觉,_ILLUSION
每人,_EVERYONE
分发,_DISTRIBUTE
照片,_PHOTOGRAPH
队伍,_PROCESSION
谈到,_TOUCH_ONUPON
啤酒,_BEER
箭猪,_PORCUPINE
修理,_REPAIR
某人,_SOMEBODY
骆驼,_CAMEL
山谷,_VLLEY
掘挖,_DIG
例外,_EXCEPTION
消像,_PORTRAIT
既然,_NOW_THAT
胸围,_CHEST
眉毛,_BROW
猪脚,_PIGSFEET
醺肉,_SMOKEDBACON
包裹,_PACKAGE
推迟,_SUSPEND
在旁,_BY
电子,_ELECTRON
黄椒,_YELLOWPEPPER
询问,_ENQUIRY
靴子,_BOOT
压缩,_CONDENSE
杨桃,_STARFRUIT
长期,_FOR_AGES
长米,_LONGRICE
傻的,_SILLY
终身,_FOR_LIFE
酱油,_SOYSAUCE
粗的,_COARSE
豆鼓,_SALTBLACKBEAN
解释,_EXPLAIN
酸菜,_PICKLEDMUSTARDGREEN
应该,_BE_SUPPOSED_TO_DO
金针,_TIGERLILYBUDS
浪花,_SPRAY
美的,_BEAUTIFUL
鳟鱼,_TROUT
大虾,_KINGPRAWNS
月桂,_LAUREL
碰巧,_HAPPEN_TO
电烫,_PERMANENTWAVE
腮紅,_BLUSHER
眼胶,_EYEGEL
粉底,_FOUNDATION
保湿,_MOISTURIZER
汉高,_HENKEL
粉饼,_PRESSEDPOWDER
笔状,_LIPPENCIL
激励,_INCENTIVES
第一,_FIRST
第九,_NINTH
麦李,_PRUNUS_GLANDULOSA
小时,_HOUR
樱花,_PRUNUS_SERRULATA
强生,_JOHNSON_JOHNSON
公吨,_METRIC_TON
毫升,_MILLILITRE
四月,_APRIL
杜梨,_BETULAEFOLIA
乍得,_CHAD
大黄,_OFFICINALE
关岛,_GUAM
玫瑰,_ROSA_RUGOSA
臭柏,_VULGARIS
阿曼,_OMAN
茵芋,_SKIMMIA_REEVESIANA
质量,_QUALITY
需求,_NEED
巩固,_REFOCUS
苹婆,_STERCULIA_NOBILIS
销售,_SALES
池柏,_ASCENDENS
解决,_SETTLEMENT
便帽,_CAP
编辑,_EDITOR
铁兰,_TILLANDSIA_LINDENIANA
棕榈,_TRACHYCARPUS_FORTUNEI
精密,_PRECISION
香蒲,_TYPHA_ORIENTALIS
海葱,_URGINEA_MARITIMA
缬草,_VALERIANA_OFFICINALIS
汰渍,_TIDE
岩堇,_FLETTII
用户,_END_USERS
枣树,_ZIZIPHUS_JUJUBA
雌狗,_BITCH
毛虫,_CATERPILLAR
鲢鱼,_CHUB
导演,_DIRECTOR
鸟蛤,_COCKLE
蟋蟀,_CRICKET
河豚,_DOLPHIN
起飞,_TAKE_OFF
苍蝇,_FLY
膨胀,_EXPND
承袭,_TAKE_OVER
进行,_PURSUE
松鸡,_GROUSE
一起,_AT_ONCE
刺猬,_HEDGEHOG
主张,_MINTIN
河马,_HIPPOPOTAMUS
蜥蜴,_LIZARD
开标,_OPENING_OF_TENDER
母马,_MARE
鸵鸟,_OSTRICH
孔雀,_PEACOCK
陷阱,_TRP
净重,_NET_WEIGHT
鲑鱼,_SALMON
海豹,_SEAL
蜗牛,_SNAIL
玳瑁,_TORTOISE
纪念,_IN_MEMORY_OF
牦牛,_YAK
惊奇,_WONDER
杰出,_STAND_OUT
旋熄,_TURN_OUT
抛弃,_THROW_AWAY
得多,_BY_FAR
吸收,_TAKE_IN
代表,_STAND_FOR
造反,_REVOLT
包销,_EXCLUSIVE_SALE
缺乏,_WANT
保障,_SECURITY
根据,_BASIS
禁闭,_CONFINE
突然,_OVERNIGHT
小马,_COLTFOAL
流泪,_WEEP
重货,_DEADWEIGHT_CARGO
繁荣,_PROSPERITYN
诞生,_GIVE_BIRTH
认为,_BELIEVE
时令,_IN_SEASON
虽然,_NOT_BUT_THAT
命令,_DICTATE
程度,_IN_SO_FAR_AS
贫困,_POVERTY
下去,_GO_DOWN
因为,_BECAUSE_OF
美元,_DOLLAR
牛虻,_HORSEFLYGADFLY
板上,_BOARD
